No.     Time           Source                Destination           Protocol Length Info
    110 2.857205       172.16.20.51          120.24.48.119         TCP      66     44640 → sgcp(440) [ACK] Seq=349 Ack=1785 Win=93440 Len=0 TSval=20268137 TSecr=3846222407
    111 2.859223       172.16.20.51          120.24.48.119         TLSv1.2  218    Application Data
    112 2.877971       120.24.48.119         172.16.20.51          TLSv1.2  940    Application Data
    113 2.877973       120.24.48.119         172.16.20.51          TLSv1.2  97     Encrypted Alert
    114 2.880778       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
    115 2.880779       172.16.20.51          120.24.48.119         TCP      66     44640 → sgcp(440) [RST, ACK] Seq=532 Ack=2691 Win=96320 Len=0 TSval=20268139 TSecr=3846222428
    116 3.196761       172.16.20.51          120.24.48.119         TCP      74     46154 → sgcp(440) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20268171 TSecr=0 WS=64
    117 3.220272       120.24.48.119         172.16.20.51          TCP      74     sgcp(440) → 46154 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846222766 TSecr=20268171 WS=128
    118 3.221859       172.16.20.51          120.24.48.119         TCP      66     46154 → sgcp(440) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20268173 TSecr=3846222766
    119 3.236265       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
    120 3.260989       120.24.48.119         172.16.20.51          TCP      66     sgcp(440) → 46154 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846222806 TSecr=20268175
    121 3.264834       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
    122 3.264836       120.24.48.119         172.16.20.51          TLSv1.2  351    Server Key Exchange, Server Hello Done
    123 3.266469       172.16.20.51          120.24.48.119         TCP      66     46154 → sgcp(440) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20268178 TSecr=3846222808
    124 3.266622       172.16.20.51          120.24.48.119         TCP      66     46154 → sgcp(440) [ACK] Seq=223 Ack=1734 Win=93440 Len=0 TSval=20268178 TSecr=3846222808
    125 3.311484       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
    126 3.335823       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
    127 3.336981       172.16.20.51          120.24.48.119         TCP      66     46154 → sgcp(440) [ACK] Seq=349 Ack=1785 Win=93440 Len=0 TSval=20268185 TSecr=3846222881
    128 3.343183       172.16.20.51          120.24.48.119         TLSv1.2  218    Application Data
    129 3.368289       120.24.48.119         172.16.20.51          TLSv1.2  940    Application Data
    130 3.368298       120.24.48.119         172.16.20.51          TLSv1.2  97     Encrypted Alert
    131 3.376325       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
    132 3.376331       172.16.20.51          120.24.48.119         TCP      66     46154 → sgcp(440) [RST, ACK] Seq=532 Ack=2691 Win=96320 Len=0 TSval=20268188 TSecr=3846222912
    133 3.709391       172.16.20.51          120.24.48.119         TCP      74     42569 → sgcp(440) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20268222 TSecr=0 WS=64
    134 3.728263       120.24.48.119         172.16.20.51          TCP      74     sgcp(440) → 42569 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846223274 TSecr=20268222 WS=128
    135 3.729548       172.16.20.51          120.24.48.119         TCP      66     42569 → sgcp(440) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20268224 TSecr=3846223274
    136 3.733314       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
    137 3.752879       120.24.48.119         172.16.20.51          TCP      66     sgcp(440) → 42569 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846223298 TSecr=20268224
    138 3.754966       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
    139 3.754969       120.24.48.119         172.16.20.51          TLSv1.2  351    Server Key Exchange, Server Hello Done
    140 3.757342       172.16.20.51          120.24.48.119         TCP      66     42569 → sgcp(440) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20268227 TSecr=3846223300
    141 3.795772       172.16.20.51          120.24.48.119         TCP      66     42569 → sgcp(440) [ACK] Seq=223 Ack=1734 Win=93440 Len=0 TSval=20268228 TSecr=3846223300
    142 3.805924       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
    143 3.826002       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
    144 3.855429       172.16.20.51          120.24.48.119         TLSv1.2  218    Application Data
    145 3.874860       120.24.48.119         172.16.20.51          TLSv1.2  940    Application Data
    146 3.874863       120.24.48.119         172.16.20.51          TLSv1.2  97     Encrypted Alert
    147 3.906221       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
    148 3.914818       172.16.20.51          120.24.48.119         TCP      66     42569 → sgcp(440) [RST, ACK] Seq=532 Ack=2691 Win=96320 Len=0 TSval=20268242 TSecr=3846223420
    149 4.205415       172.16.20.51          120.24.48.119         TCP      74     33295 → sgcp(440) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20268271 TSecr=0 WS=64
    150 4.223240       120.24.48.119         172.16.20.51          TCP      74     sgcp(440) → 33295 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846223769 TSecr=20268271 WS=128
    151 4.224639       172.16.20.51          120.24.48.119         TCP      66     33295 → sgcp(440) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20268273 TSecr=3846223769
    152 4.227934       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
    153 4.245913       120.24.48.119         172.16.20.51          TCP      66     sgcp(440) → 33295 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846223791 TSecr=20268274
    154 4.248014       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
    155 4.248018       120.24.48.119         172.16.20.51          TLSv1.2  351    Server Key Exchange, Server Hello Done
    156 4.258369       172.16.20.51          120.24.48.119         TCP      66     33295 → sgcp(440) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20268277 TSecr=3846223793
    157 4.260156       172.16.20.51          120.24.48.119         TCP      66     33295 → sgcp(440) [ACK] Seq=223 Ack=1734 Win=93440 Len=0 TSval=20268277 TSecr=3846223793
    158 4.282483       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
    159 4.301158       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
    160 4.327465       172.16.20.51          120.24.48.119         TLSv1.2  218    Application Data
    161 4.346123       120.24.48.119         172.16.20.51          TLSv1.2  940    Application Data
    162 4.346127       120.24.48.119         172.16.20.51          TLSv1.2  97     Encrypted Alert
    163 4.358430       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
    164 4.358431       172.16.20.51          120.24.48.119         TCP      66     33295 → sgcp(440) [RST, ACK] Seq=532 Ack=2691 Win=96320 Len=0 TSval=20268286 TSecr=3846223891
    165 4.687137       172.16.20.51          120.24.48.119         TCP      74     34353 → sgcp(440) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20268320 TSecr=0 WS=64
    166 4.701411       120.24.48.119         172.16.20.51          TCP      74     sgcp(440) → 34353 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846224251 TSecr=20268320 WS=128
    167 4.705403       172.16.20.51          120.24.48.119         TCP      66     34353 → sgcp(440) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20268322 TSecr=3846224251
    168 4.724337       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
    169 4.739157       120.24.48.119         172.16.20.51          TCP      66     sgcp(440) → 34353 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846224288 TSecr=20268323
    170 4.740897       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
    171 4.740899       120.24.48.119         172.16.20.51          TLSv1.2  351    Server Key Exchange, Server Hello Done
    172 4.743427       172.16.20.51          120.24.48.119         TCP      66     34353 → sgcp(440) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20268325 TSecr=3846224289
    173 4.743428       172.16.20.51          120.24.48.119         TCP      66     34353 → sgcp(440) [ACK] Seq=223 Ack=1734 Win=93440 Len=0 TSval=20268325 TSecr=3846224289
    174 4.785885       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
    175 4.800999       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
    176 4.804398       172.16.20.51          120.24.48.119         TCP      66     34353 → sgcp(440) [ACK] Seq=349 Ack=1785 Win=93440 Len=0 TSval=20268331 TSecr=3846224349
    177 4.819845       172.16.20.51          120.24.48.119         TLSv1.2  218    Application Data
    178 4.835004       120.24.48.119         172.16.20.51          TLSv1.2  940    Application Data
    179 4.835008       120.24.48.119         172.16.20.51          TLSv1.2  97     Encrypted Alert
    180 4.839488       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
    181 4.842861       172.16.20.51          120.24.48.119         TCP      66     34353 → sgcp(440) [RST, ACK] Seq=532 Ack=2691 Win=96320 Len=0 TSval=20268335 TSecr=3846224383
    182 5.196850       172.16.20.51          120.24.48.119         TCP      74     40792 → sgcp(440) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20268371 TSecr=0 WS=64
    183 5.215062       120.24.48.119         172.16.20.51          TCP      74     sgcp(440) → 40792 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846224760 TSecr=20268371 WS=128
    184 5.219188       172.16.20.51          120.24.48.119         TCP      66     40792 → sgcp(440) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20268373 TSecr=3846224760
    185 5.235449       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
    186 5.253698       120.24.48.119         172.16.20.51          TCP      66     sgcp(440) → 40792 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846224799 TSecr=20268375
    187 5.256029       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
    188 5.256032       120.24.48.119         172.16.20.51          TLSv1.2  351    Server Key Exchange, Server Hello Done
    189 5.257861       172.16.20.51          120.24.48.119         TCP      66     40792 → sgcp(440) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20268377 TSecr=3846224800
    190 5.257868       172.16.20.51          120.24.48.119         TCP      66     40792 → sgcp(440) [ACK] Seq=223 Ack=1734 Win=93440 Len=0 TSval=20268377 TSecr=3846224800
    191 5.298995       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
    192 5.317802       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
    193 5.320013       172.16.20.51          120.24.48.119         TCP      66     40792 → sgcp(440) [ACK] Seq=349 Ack=1785 Win=93440 Len=0 TSval=20268383 TSecr=3846224863
    194 5.326143       172.16.20.51          120.24.48.119         TLSv1.2  218    Application Data
    195 5.344747       120.24.48.119         172.16.20.51          TLSv1.2  940    Application Data
    196 5.344751       120.24.48.119         172.16.20.51          TLSv1.2  97     Encrypted Alert
    197 5.351176       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
    198 5.358752       172.16.20.51          120.24.48.119         TCP      66     40792 → sgcp(440) [RST, ACK] Seq=532 Ack=2691 Win=96320 Len=0 TSval=20268387 TSecr=3846224889
    199 5.724090       172.16.20.51          120.24.48.119         TCP      74     43265 → sgcp(440) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20268423 TSecr=0 WS=64
    200 5.742590       120.24.48.119         172.16.20.51          TCP      74     sgcp(440) → 43265 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846225288 TSecr=20268423 WS=128
    201 5.745970       172.16.20.51          120.24.48.119         TCP      66     43265 → sgcp(440) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20268426 TSecr=3846225288
    202 5.770052       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
    203 5.789217       120.24.48.119         172.16.20.51          TCP      66     sgcp(440) → 43265 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846225334 TSecr=20268428
    204 5.791350       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
