No.     Time           Source                Destination           Protocol Info
     83 1.388341       42.62.69.169          172.17.32.142         TCP      https(443) → 50079 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=3425044016 TSecr=502919031 WS=512
     84 1.388455       172.17.32.142         42.62.69.169          TCP      50079 → https(443) [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=502919081 TSecr=3425044016
     85 1.390422       172.17.32.142         42.62.69.169          TLSv1.2  Client Hello
     86 1.441699       42.62.69.169          172.17.32.142         TCP      https(443) → 50079 [ACK] Seq=1 Ack=176 Win=7168 Len=0 TSval=3425044067 TSecr=502919083
     87 1.441703       42.62.69.169          172.17.32.142         TLSv1.2  Server Hello
     88 1.441704       42.62.69.169          172.17.32.142         TCP      [TCP segment of a reassembled PDU]
     89 1.441822       42.62.69.169          172.17.32.142         TLSv1.2  Certificate[TCP segment of a reassembled PDU]
     90 1.441827       42.62.69.169          172.17.32.142         TLSv1.2  Certificate Status, Server Key Exchange, Server Hello Done
     91 1.441839       172.17.32.142         42.62.69.169          TCP      50079 → https(443) [ACK] Seq=176 Ack=2897 Win=128864 Len=0 TSval=502919134 TSecr=3425044068
     92 1.441885       172.17.32.142         42.62.69.169          TCP      50079 → https(443) [ACK] Seq=176 Ack=4913 Win=129056 Len=0 TSval=502919134 TSecr=3425044068
     93 1.477998       172.17.32.142         42.62.69.169          TLSv1.2  Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request
     94 1.531114       42.62.69.169          172.17.32.142         TLSv1.2  Change Cipher Spec, Encrypted Handshake Message
     95 1.531177       172.17.32.142         42.62.69.169          TLSv1.2  Application Data
     96 1.582117       42.62.69.169          172.17.32.142         TLSv1.2  Application Data
     97 1.582122       42.62.69.169          172.17.32.142         TLSv1.2  Encrypted Alert
     98 1.582183       172.17.32.142         42.62.69.169          TCP      50079 → https(443) [ACK] Seq=482 Ack=5917 Win=130112 Len=0 TSval=502919272 TSecr=3425044208
     99 1.582184       172.17.32.142         42.62.69.169          TCP      50079 → https(443) [ACK] Seq=482 Ack=5949 Win=130080 Len=0 TSval=502919272 TSecr=3425044208
    100 1.583853       172.17.32.142         42.62.69.169          TCP      50079 → https(443) [FIN, ACK] Seq=482 Ack=5949 Win=131072 Len=0 TSval=502919273 TSecr=3425044208
    101 1.586418       172.17.32.142         42.62.69.169          TCP      50080 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=502919275 TSecr=0 SACK_PERM=1
    102 1.634014       42.62.69.169          172.17.32.142         TCP      https(443) → 50080 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=3425044262 TSecr=502919275 WS=512
    103 1.634072       172.17.32.142         42.62.69.169          TCP      50080 → https(443) [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=502919322 TSecr=3425044262
    104 1.636204       172.17.32.142         42.62.69.169          TLSv1.2  Client Hello
    105 1.642116       42.62.69.169          172.17.32.142         TCP      https(443) → 50079 [ACK] Seq=5949 Ack=483 Win=8192 Len=0 TSval=3425044261 TSecr=502919273
    106 1.685501       42.62.69.169          172.17.32.142         TCP      https(443) → 50080 [ACK] Seq=1 Ack=176 Win=7168 Len=0 TSval=3425044312 TSecr=502919324
    107 1.685505       42.62.69.169          172.17.32.142         TLSv1.2  Server Hello
    108 1.685506       42.62.69.169          172.17.32.142         TCP      [TCP segment of a reassembled PDU]
    109 1.685507       42.62.69.169          172.17.32.142         TLSv1.2  Certificate[TCP segment of a reassembled PDU]
    110 1.685508       42.62.69.169          172.17.32.142         TLSv1.2  Certificate Status, Server Key Exchange, Server Hello Done
    111 1.685579       172.17.32.142         42.62.69.169          TCP      50080 → https(443) [ACK] Seq=176 Ack=2897 Win=128864 Len=0 TSval=502919371 TSecr=3425044313
    112 1.685580       172.17.32.142         42.62.69.169          TCP      50080 → https(443) [ACK] Seq=176 Ack=4913 Win=126848 Len=0 TSval=502919371 TSecr=3425044313
    113 1.685622       172.17.32.142         42.62.69.169          TCP      [TCP Window Update] 50080 → https(443) [ACK] Seq=176 Ack=4913 Win=131072 Len=0 TSval=502919371 TSecr=3425044313
    114 1.718540       172.17.32.142         42.62.69.169          TLSv1.2  Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request
    115 1.767159       42.62.69.169          172.17.32.142         TLSv1.2  Change Cipher Spec, Encrypted Handshake Message
    116 1.767217       172.17.32.142         42.62.69.169          TLSv1.2  Application Data
    117 1.818807       42.62.69.169          172.17.32.142         TLSv1.2  Application Data
    118 1.818815       42.62.69.169          172.17.32.142         TLSv1.2  Encrypted Alert
    119 1.818962       172.17.32.142         42.62.69.169          TCP      50080 → https(443) [ACK] Seq=482 Ack=5917 Win=130112 Len=0 TSval=502919501 TSecr=3425044444
    120 1.818964       172.17.32.142         42.62.69.169          TCP      50080 → https(443) [ACK] Seq=482 Ack=5949 Win=130080 Len=0 TSval=502919501 TSecr=3425044444
    121 1.823858       172.17.32.142         42.62.69.169          TCP      50080 → https(443) [FIN, ACK] Seq=482 Ack=5949 Win=131072 Len=0 TSval=502919505 TSecr=3425044444
    122 1.826151       172.17.32.142         42.62.69.169          TCP      50081 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=502919507 TSecr=0 SACK_PERM=1
    123 1.876059       42.62.69.169          172.17.32.142         TCP      https(443) → 50080 [ACK] Seq=5949 Ack=483 Win=8192 Len=0 TSval=3425044502 TSecr=502919505
    124 1.876063       42.62.69.169          172.17.32.142         TCP      https(443) → 50081 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=3425044503 TSecr=502919507 WS=512
    125 1.876158       172.17.32.142         42.62.69.169          TCP      50081 → https(443) [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=502919557 TSecr=3425044503
    126 1.878230       172.17.32.142         42.62.69.169          TLSv1.2  Client Hello
    127 1.926104       42.62.69.169          172.17.32.142         TCP      https(443) → 50081 [ACK] Seq=1 Ack=176 Win=7168 Len=0 TSval=3425044553 TSecr=502919559
    128 1.927470       42.62.69.169          172.17.32.142         TLSv1.2  Server Hello
    129 1.927481       42.62.69.169          172.17.32.142         TCP      [TCP segment of a reassembled PDU]
    130 1.927487       42.62.69.169          172.17.32.142         TLSv1.2  Certificate[TCP segment of a reassembled PDU]
    131 1.927490       42.62.69.169          172.17.32.142         TLSv1.2  Certificate Status, Server Key Exchange, Server Hello Done
    132 1.927656       172.17.32.142         42.62.69.169          TCP      50081 → https(443) [ACK] Seq=176 Ack=2897 Win=128864 Len=0 TSval=502919606 TSecr=3425044554
    133 1.927658       172.17.32.142         42.62.69.169          TCP      50081 → https(443) [ACK] Seq=176 Ack=4913 Win=126848 Len=0 TSval=502919606 TSecr=3425044554
    134 1.927760       172.17.32.142         42.62.69.169          TCP      [TCP Window Update] 50081 → https(443) [ACK] Seq=176 Ack=4913 Win=131072 Len=0 TSval=502919606 TSecr=3425044554
    135 1.960809       172.17.32.142         42.62.69.169          TLSv1.2  Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request
    136 2.009169       42.62.69.169          172.17.32.142         TLSv1.2  Change Cipher Spec, Encrypted Handshake Message
    137 2.009225       172.17.32.142         42.62.69.169          TLSv1.2  Application Data
    138 2.058392       42.62.69.169          172.17.32.142         TLSv1.2  Application Data
    139 2.058397       42.62.69.169          172.17.32.142         TLSv1.2  Encrypted Alert
    140 2.058475       172.17.32.142         42.62.69.169          TCP      50081 → https(443) [ACK] Seq=482 Ack=5917 Win=130112 Len=0 TSval=502919736 TSecr=3425044684
    141 2.058476       172.17.32.142         42.62.69.169          TCP      50081 → https(443) [ACK] Seq=482 Ack=5949 Win=130080 Len=0 TSval=502919736 TSecr=3425044684
    142 2.060384       172.17.32.142         42.62.69.169          TCP      50081 → https(443) [FIN, ACK] Seq=482 Ack=5949 Win=131072 Len=0 TSval=502919737 TSecr=3425044684
    143 2.079497       172.17.32.142         42.62.69.169          TCP      50082 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=502919756 TSecr=0 SACK_PERM=1
    144 2.112901       42.62.69.169          172.17.32.142         TCP      https(443) → 50081 [ACK] Seq=5949 Ack=483 Win=8192 Len=0 TSval=3425044735 TSecr=502919737
    145 2.131723       42.62.69.169          172.17.32.142         TCP      https(443) → 50082 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=3425044757 TSecr=502919756 WS=512
    146 2.131793       172.17.32.142         42.62.69.169          TCP      50082 → https(443) [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=502919807 TSecr=3425044757
    147 2.134816       172.17.32.142         42.62.69.169          TLSv1.2  Client Hello
    148 2.185694       42.62.69.169          172.17.32.142         TCP      https(443) → 50082 [ACK] Seq=1 Ack=176 Win=7168 Len=0 TSval=3425044812 TSecr=502919810
    149 2.187896       42.62.69.169          172.17.32.142         TLSv1.2  Server Hello
    150 2.187900       42.62.69.169          172.17.32.142         TCP      [TCP segment of a reassembled PDU]
    151 2.187901       42.62.69.169          172.17.32.142         TLSv1.2  Certificate[TCP segment of a reassembled PDU]
    152 2.187902       42.62.69.169          172.17.32.142         TLSv1.2  Certificate Status, Server Key Exchange, Server Hello Done
    153 2.187987       172.17.32.142         42.62.69.169          TCP      50082 → https(443) [ACK] Seq=176 Ack=2897 Win=128864 Len=0 TSval=502919862 TSecr=3425044814
    154 2.187988       172.17.32.142         42.62.69.169          TCP      50082 → https(443) [ACK] Seq=176 Ack=4913 Win=126848 Len=0 TSval=502919862 TSecr=3425044814
    155 2.188032       172.17.32.142         42.62.69.169          TCP      [TCP Window Update] 50082 → https(443) [ACK] Seq=176 Ack=4913 Win=131072 Len=0 TSval=502919862 TSecr=3425044814
    156 2.218033       172.17.32.142         42.62.69.169          TLSv1.2  Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request
    157 2.278658       42.62.69.169          172.17.32.142         TLSv1.2  Change Cipher Spec, Encrypted Handshake Message
    158 2.278714       172.17.32.142         42.62.69.169          TLSv1.2  Application Data
    159 2.341399       42.62.69.169          172.17.32.142         TLSv1.2  Application Data
    160 2.341403       42.62.69.169          172.17.32.142         TLSv1.2  Encrypted Alert
    161 2.341473       172.17.32.142         42.62.69.169          TCP      50082 → https(443) [ACK] Seq=482 Ack=5917 Win=130112 Len=0 TSval=502920014 TSecr=3425044956
    162 2.341474       172.17.32.142         42.62.69.169          TCP      50082 → https(443) [ACK] Seq=482 Ack=5949 Win=130080 Len=0 TSval=502920014 TSecr=3425044956
    163 2.344025       172.17.32.142         42.62.69.169          TCP      50082 → https(443) [FIN, ACK] Seq=482 Ack=5949 Win=131072 Len=0 TSval=502920016 TSecr=3425044956
    164 2.347962       172.17.32.142         42.62.69.169          TCP      50083 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=502920019 TSecr=0 SACK_PERM=1
    165 2.396004       42.62.69.169          172.17.32.142         TCP      https(443) → 50083 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=3425045023 TSecr=502920019 WS=512
    166 2.396069       172.17.32.142         42.62.69.169          TCP      50083 → https(443) [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=502920066 TSecr=3425045023
    167 2.398472       172.17.32.142         42.62.69.169          TLSv1.2  Client Hello
    168 2.405255       42.62.69.169          172.17.32.142         TCP      https(443) → 50082 [ACK] Seq=5949 Ack=483 Win=8192 Len=0 TSval=3425045021 TSecr=502920016
    169 2.446804       42.62.69.169          172.17.32.142         TCP      https(443) → 50083 [ACK] Seq=1 Ack=176 Win=7168 Len=0 TSval=3425045073 TSecr=502920068
    170 2.446809       42.62.69.169          172.17.32.142         TLSv1.2  Server Hello
    171 2.446811       42.62.69.169          172.17.32.142         TCP      [TCP segment of a reassembled PDU]
    172 2.446862       42.62.69.169          172.17.32.142         TLSv1.2  Certificate[TCP segment of a reassembled PDU]
    173 2.446874       172.17.32.142         42.62.69.169          TCP      50083 → https(443) [ACK] Seq=176 Ack=2897 Win=128864 Len=0 TSval=502920115 TSecr=3425045075
    174 2.446930       172.17.32.142         42.62.69.169          TCP      50083 → https(443) [ACK] Seq=176 Ack=4345 Win=131072 Len=0 TSval=502920115 TSecr=3425045075
    175 2.449482       42.62.69.169          172.17.32.142         TLSv1.2  Certificate Status, Server Key Exchange, Server Hello Done
    176 2.449553       172.17.32.142         42.62.69.169          TCP      50083 → https(443) [ACK] Seq=176 Ack=4913 Win=130496 Len=0 TSval=502920117 TSecr=3425045075
    177 2.476740       172.17.32.142         42.62.69.169          TLSv1.2  Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request
    178 2.525308       42.62.69.169          172.17.32.142         TLSv1.2  Change Cipher Spec, Encrypted Handshake Message
    179 2.525373       172.17.32.142         42.62.69.169          TLSv1.2  Application Data
    180 2.576010       42.62.69.169          172.17.32.142         TLSv1.2  Application Data
    181 2.576015       42.62.69.169          172.17.32.142         TLSv1.2  Encrypted Alert
    182 2.576076       172.17.32.142         42.62.69.169          TCP      50083 → https(443) [ACK] Seq=482 Ack=5917 Win=130112 Len=0 TSval=502920241 TSecr=3425045200
    183 2.576076       172.17.32.142         42.62.69.169          TCP      50083 → https(443) [ACK] Seq=482 Ack=5949 Win=130080 Len=0 TSval=502920241 TSecr=3425045200
    184 2.577951       172.17.32.142         42.62.69.169          TCP      50083 → https(443) [FIN, ACK] Seq=482 Ack=5949 Win=131072 Len=0 TSval=502920242 TSecr=3425045200
    185 2.579907       172.17.32.142         42.62.69.169          TCP      50085 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=502920243 TSecr=0 SACK_PERM=1
    186 2.626185       42.62.69.169          172.17.32.142         TCP      https(443) → 50083 [ACK] Seq=5949 Ack=483 Win=8192 Len=0 TSval=3425045253 TSecr=502920242
    187 2.627893       42.62.69.169          172.17.32.142         TCP      https(443) → 50085 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=3425045254 TSecr=502920243 WS=512
    188 2.627953       172.17.32.142         42.62.69.169          TCP      50085 → https(443) [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=502920290 TSecr=3425045254
    189 2.629693       172.17.32.142         42.62.69.169          TLSv1.2  Client Hello
    190 2.678142       42.62.69.169          172.17.32.142         TCP      https(443) → 50085 [ACK] Seq=1 Ack=176 Win=7168 Len=0 TSval=3425045305 TSecr=502920291
    191 2.680593       42.62.69.169          172.17.32.142         TLSv1.2  Server Hello
    192 2.680598       42.62.69.169          172.17.32.142         TCP      [TCP segment of a reassembled PDU]
    193 2.680599       42.62.69.169          172.17.32.142         TLSv1.2  Certificate[TCP segment of a reassembled PDU]
    194 2.680600       42.62.69.169          172.17.32.142         TLSv1.2  Certificate Status, Server Key Exchange, Server Hello Done
    195 2.680652       172.17.32.142         42.62.69.169          TCP      50085 → https(443) [ACK] Seq=176 Ack=2897 Win=128864 Len=0 TSval=502920341 TSecr=3425045306
    196 2.680652       172.17.32.142         42.62.69.169          TCP      50085 → https(443) [ACK] Seq=176 Ack=4913 Win=126848 Len=0 TSval=502920341 TSecr=3425045306
    197 2.680700       172.17.32.142         42.62.69.169          TCP      [TCP Window Update] 50085 → https(443) [ACK] Seq=176 Ack=4913 Win=131072 Len=0 TSval=502920341 TSecr=3425045306
    198 2.711950       172.17.32.142         42.62.69.169          TLSv1.2  Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request
    199 2.762828       42.62.69.169          172.17.32.142         TLSv1.2  Change Cipher Spec, Encrypted Handshake Message
    200 2.762913       172.17.32.142         42.62.69.169          TLSv1.2  Application Data
    201 2.812543       42.62.69.169          172.17.32.142         TLSv1.2  Application Data
    202 2.812549       42.62.69.169          172.17.32.142         TLSv1.2  Encrypted Alert
    203 2.812653       172.17.32.142         42.62.69.169          TCP      50085 → https(443) [ACK] Seq=482 Ack=5917 Win=130112 Len=0 TSval=502920469 TSecr=3425045437
    204 2.812656       172.17.32.142         42.62.69.169          TCP      50085 → https(443) [ACK] Seq=482 Ack=5949 Win=130080 Len=0 TSval=502920469 TSecr=3425045437
    205 2.816638       172.17.32.142         42.62.69.169          TCP      50085 → https(443) [FIN, ACK] Seq=482 Ack=5949 Win=131072 Len=0 TSval=502920473 TSecr=3425045437
    206 2.819353       172.17.32.142         42.62.69.169          TCP      50087 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=502920475 TSecr=0 SACK_PERM=1
