No.     Time           Source                Destination           Protocol Info
    122 2.149133       172.17.32.142         27.148.145.195        TLSv1.2  Encrypted Alert
    123 2.149355       172.17.32.142         27.148.145.195        TCP      56068 → https(443) [FIN, ACK] Seq=742 Ack=647 Win=262144 Len=0
    124 2.151521       27.148.145.195        172.17.32.142         TCP      https(443) → 56068 [FIN, ACK] Seq=647 Ack=711 Win=16768 Len=0
    125 2.151575       172.17.32.142         27.148.145.195        TCP      [TCP Out-Of-Order] 56068 → https(443) [FIN, ACK] Seq=742 Ack=648 Win=262144 Len=0
    126 2.166674       27.148.145.195        172.17.32.142         TCP      https(443) → 56068 [RST] Seq=647 Win=0 Len=0
    127 2.383453       172.17.32.142         27.148.145.195        TCP      [TCP Retransmission] 56068 → https(443) [FIN, PSH, ACK] Seq=711 Ack=648 Win=262144 Len=31
    128 2.400315       27.148.145.195        172.17.32.142         TCP      https(443) → 56068 [RST] Seq=648 Win=0 Len=0
    129 2.454796       172.17.32.142         106.122.254.22        TCP      56069 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=663688384 TSecr=0 SACK_PERM=1
    130 2.471113       106.122.254.22        172.17.32.142         TCP      https(443) → 56069 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM=1 WS=128
    131 2.471199       172.17.32.142         106.122.254.22        TCP      56069 → https(443) [ACK] Seq=1 Ack=1 Win=262144 Len=0
    132 2.473782       172.17.32.142         106.122.254.22        TLSv1.2  Client Hello
    133 2.546434       172.17.32.142         106.122.254.22        TCP      [TCP Retransmission] 56069 → https(443) [PSH, ACK] Seq=1 Ack=1 Win=262144 Len=517
    134 2.559593       106.122.254.22        172.17.32.142         TLSv1.2  Server Hello, Change Cipher Spec, Encrypted Handshake Message
    135 2.559655       172.17.32.142         106.122.254.22        TCP      56069 → https(443) [ACK] Seq=518 Ack=138 Win=261984 Len=0
    136 2.560871       106.122.254.22        172.17.32.142         TCP      https(443) → 56069 [ACK] Seq=1 Ack=518 Win=176768 Len=0
    137 2.560887       172.17.32.142         106.122.254.22        TLSv1.2  Change Cipher Spec, Hello Request, Hello Request
    138 2.560931       172.17.32.142         106.122.254.22        TCP      [TCP Dup ACK 135#1] 56069 → https(443) [ACK] Seq=569 Ack=138 Win=262144 Len=0
    139 2.622822       106.122.254.22        172.17.32.142         TCP      https(443) → 56069 [ACK] Seq=138 Ack=569 Win=176768 Len=0
    140 2.622873       172.17.32.142         106.122.254.22        TLSv1.2  Application Data
    141 2.638161       106.122.254.22        172.17.32.142         TCP      https(443) → 56069 [ACK] Seq=138 Ack=711 Win=182528 Len=0
    142 2.677731       106.122.254.22        172.17.32.142         TLSv1.2  Application Data
    143 2.677809       172.17.32.142         106.122.254.22        TCP      56069 → https(443) [ACK] Seq=711 Ack=512 Win=261760 Len=0
    144 2.679344       106.122.254.22        172.17.32.142         TLSv1.2  Application Data
    145 2.679398       172.17.32.142         106.122.254.22        TCP      56069 → https(443) [ACK] Seq=711 Ack=613 Win=262016 Len=0
    146 2.679514       106.122.254.22        172.17.32.142         TLSv1.2  Encrypted Alert
    147 2.679543       172.17.32.142         106.122.254.22        TCP      56069 → https(443) [ACK] Seq=711 Ack=644 Win=262112 Len=0
    148 2.683134       106.122.254.22        172.17.32.142         TCP      https(443) → 56069 [FIN, ACK] Seq=644 Ack=711 Win=182528 Len=0
    149 2.683185       172.17.32.142         106.122.254.22        TCP      56069 → https(443) [ACK] Seq=711 Ack=645 Win=262144 Len=0
    150 2.683862       172.17.32.142         106.122.254.22        TLSv1.2  Encrypted Alert
    151 2.684437       172.17.32.142         106.122.254.22        TCP      56069 → https(443) [FIN, ACK] Seq=742 Ack=645 Win=262144 Len=0
    152 2.700980       106.122.254.22        172.17.32.142         TCP      https(443) → 56069 [RST] Seq=645 Win=0 Len=0
    153 2.702285       106.122.254.22        172.17.32.142         TCP      https(443) → 56069 [RST] Seq=645 Win=0 Len=0
    154 2.989167       172.17.32.142         27.148.145.195        TCP      56082 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=663688906 TSecr=0 SACK_PERM=1
    155 3.006483       27.148.145.195        172.17.32.142         TCP      https(443) → 56082 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=128
    156 3.006562       172.17.32.142         27.148.145.195        TCP      56082 → https(443) [ACK] Seq=1 Ack=1 Win=262144 Len=0
    157 3.014341       172.17.32.142         27.148.145.195        TLSv1.2  Client Hello
    158 3.031139       27.148.145.195        172.17.32.142         TCP      https(443) → 56082 [ACK] Seq=1 Ack=518 Win=15744 Len=0
    159 3.032261       27.148.145.195        172.17.32.142         TLSv1.2  Server Hello, Change Cipher Spec, Encrypted Handshake Message
    160 3.032320       172.17.32.142         27.148.145.195        TCP      56082 → https(443) [ACK] Seq=518 Ack=142 Win=261984 Len=0
    161 3.033601       172.17.32.142         27.148.145.195        TLSv1.2  Change Cipher Spec, Hello Request, Hello Request
    162 3.089408       27.148.145.195        172.17.32.142         TCP      https(443) → 56082 [ACK] Seq=142 Ack=569 Win=15744 Len=0
    163 3.089485       172.17.32.142         27.148.145.195        TLSv1.2  Application Data
    164 3.109881       27.148.145.195        172.17.32.142         TCP      https(443) → 56082 [ACK] Seq=142 Ack=711 Win=16768 Len=0
    165 3.146936       27.148.145.195        172.17.32.142         TLSv1.2  Application Data
    166 3.146986       172.17.32.142         27.148.145.195        TCP      56082 → https(443) [ACK] Seq=711 Ack=515 Win=261760 Len=0
    167 3.147310       27.148.145.195        172.17.32.142         TLSv1.2  Application Data
    168 3.147344       172.17.32.142         27.148.145.195        TCP      56082 → https(443) [ACK] Seq=711 Ack=616 Win=262016 Len=0
    169 3.152017       172.17.32.142         27.148.145.195        TLSv1.2  Encrypted Alert
    170 3.152522       172.17.32.142         27.148.145.195        TCP      56082 → https(443) [FIN, ACK] Seq=742 Ack=616 Win=262144 Len=0
    171 3.152627       27.148.145.195        172.17.32.142         TLSv1.2  Encrypted Alert
    172 3.152683       172.17.32.142         27.148.145.195        TCP      [TCP Out-Of-Order] 56082 → https(443) [FIN, ACK] Seq=742 Ack=647 Win=262112 Len=0
    173 3.154228       27.148.145.195        172.17.32.142         TCP      https(443) → 56082 [FIN, ACK] Seq=647 Ack=711 Win=16768 Len=0
    174 3.154279       172.17.32.142         27.148.145.195        TCP      [TCP Out-Of-Order] 56082 → https(443) [FIN, ACK] Seq=742 Ack=648 Win=262144 Len=0
    175 3.163726       27.148.145.195        172.17.32.142         TCP      https(443) → 56082 [RST] Seq=616 Win=0 Len=0
    176 3.170969       27.148.145.195        172.17.32.142         TCP      https(443) → 56082 [RST] Seq=616 Win=0 Len=0
    177 3.172038       27.148.145.195        172.17.32.142         TCP      https(443) → 56082 [RST] Seq=647 Win=0 Len=0
    178 3.174383       27.148.145.195        172.17.32.142         TCP      https(443) → 56082 [RST] Seq=648 Win=0 Len=0
    179 3.459614       172.17.32.142         106.122.254.22        TCP      56083 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=663689368 TSecr=0 SACK_PERM=1
    180 3.477607       106.122.254.22        172.17.32.142         TCP      https(443) → 56083 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM=1 WS=128
    181 3.477714       172.17.32.142         106.122.254.22        TCP      56083 → https(443) [ACK] Seq=1 Ack=1 Win=262144 Len=0
    182 3.480204       172.17.32.142         106.122.254.22        TLSv1.2  Client Hello
    183 3.491092       106.122.254.22        172.17.32.142         TLSv1.2  Server Hello, Change Cipher Spec, Encrypted Handshake Message
    184 3.491173       172.17.32.142         106.122.254.22        TCP      56083 → https(443) [ACK] Seq=518 Ack=138 Win=261984 Len=0
    185 3.492097       172.17.32.142         106.122.254.22        TLSv1.2  Change Cipher Spec, Hello Request, Hello Request
    186 3.499253       106.122.254.22        172.17.32.142         TCP      https(443) → 56083 [ACK] Seq=1 Ack=518 Win=176768 Len=0
    187 3.499310       172.17.32.142         106.122.254.22        TLSv1.2  Application Data
    188 3.515559       106.122.254.22        172.17.32.142         TCP      https(443) → 56083 [ACK] Seq=138 Ack=711 Win=182528 Len=0
    189 3.557445       106.122.254.22        172.17.32.142         TLSv1.2  Application Data
    190 3.557505       172.17.32.142         106.122.254.22        TCP      56083 → https(443) [ACK] Seq=711 Ack=512 Win=261760 Len=0
    191 3.558839       106.122.254.22        172.17.32.142         TLSv1.2  [TCP Previous segment not captured] , Encrypted Alert
    192 3.558921       172.17.32.142         106.122.254.22        TCP      [TCP Dup ACK 190#1] 56083 → https(443) [ACK] Seq=711 Ack=512 Win=261760 Len=0 SLE=613 SRE=644
    193 3.562452       106.122.254.22        172.17.32.142         TCP      [TCP Out-Of-Order] https(443) → 56083 [PSH, ACK] Seq=512 Ack=711 Win=182528 Len=101
    194 3.562543       172.17.32.142         106.122.254.22        TCP      56083 → https(443) [ACK] Seq=711 Ack=644 Win=261984 Len=0
    195 3.563119       106.122.254.22        172.17.32.142         TCP      https(443) → 56083 [FIN, ACK] Seq=644 Ack=711 Win=182528 Len=0
    196 3.563236       172.17.32.142         106.122.254.22        TCP      56083 → https(443) [ACK] Seq=711 Ack=645 Win=261984 Len=0
    197 3.575301       106.122.254.22        172.17.32.142         TCP      [TCP Out-Of-Order] https(443) → 56083 [PSH, ACK] Seq=512 Ack=711 Win=182528 Len=101
    198 3.575369       172.17.32.142         106.122.254.22        TCP      [TCP Window Update] 56083 → https(443) [ACK] Seq=711 Ack=645 Win=262144 Len=0 SLE=512 SRE=613
    199 3.628740       172.17.32.142         106.122.254.22        TLSv1.2  Encrypted Alert
    200 3.629221       172.17.32.142         106.122.254.22        TCP      56083 → https(443) [FIN, ACK] Seq=742 Ack=645 Win=262144 Len=0
    201 3.639324       106.122.254.22        172.17.32.142         TCP      https(443) → 56083 [RST] Seq=645 Win=0 Len=0
    202 3.641281       106.122.254.22        172.17.32.142         TCP      https(443) → 56083 [RST] Seq=645 Win=0 Len=0
    203 3.934902       172.17.32.142         27.148.145.195        TCP      56084 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=663689833 TSecr=0 SACK_PERM=1
    204 3.951428       27.148.145.195        172.17.32.142         TCP      https(443) → 56084 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=128
    205 3.951522       172.17.32.142         27.148.145.195        TCP      56084 → https(443) [ACK] Seq=1 Ack=1 Win=262144 Len=0
    206 3.954955       172.17.32.142         27.148.145.195        TLSv1.2  Client Hello
    207 3.964615       27.148.145.195        172.17.32.142         TLSv1.2  Server Hello, Change Cipher Spec, Encrypted Handshake Message
    208 3.964686       172.17.32.142         27.148.145.195        TCP      56084 → https(443) [ACK] Seq=518 Ack=142 Win=261984 Len=0
    209 3.965500       172.17.32.142         27.148.145.195        TLSv1.2  Change Cipher Spec, Hello Request, Hello Request
    210 3.972985       27.148.145.195        172.17.32.142         TCP      https(443) → 56084 [ACK] Seq=1 Ack=518 Win=15744 Len=0
    211 3.973027       172.17.32.142         27.148.145.195        TLSv1.2  Application Data
    212 3.994536       27.148.145.195        172.17.32.142         TCP      https(443) → 56084 [ACK] Seq=142 Ack=711 Win=16768 Len=0
    213 4.027594       27.148.145.195        172.17.32.142         TLSv1.2  Application Data
    214 4.027662       172.17.32.142         27.148.145.195        TCP      56084 → https(443) [ACK] Seq=711 Ack=515 Win=261760 Len=0
    215 4.028836       27.148.145.195        172.17.32.142         TLSv1.2  Application Data
    216 4.029074       172.17.32.142         27.148.145.195        TCP      56084 → https(443) [ACK] Seq=711 Ack=616 Win=262016 Len=0
    217 4.029260       27.148.145.195        172.17.32.142         TLSv1.2  Encrypted Alert
    218 4.029345       172.17.32.142         27.148.145.195        TCP      56084 → https(443) [ACK] Seq=711 Ack=647 Win=261984 Len=0
    219 4.031052       27.148.145.195        172.17.32.142         TCP      https(443) → 56084 [FIN, ACK] Seq=647 Ack=711 Win=16768 Len=0
    220 4.031221       172.17.32.142         27.148.145.195        TCP      56084 → https(443) [ACK] Seq=711 Ack=648 Win=262144 Len=0
    221 4.053288       172.17.32.142         27.148.145.195        TLSv1.2  Encrypted Alert
    222 4.056151       172.17.32.142         27.148.145.195        TCP      56084 → https(443) [FIN, ACK] Seq=742 Ack=648 Win=262144 Len=0
    223 4.065972       27.148.145.195        172.17.32.142         TCP      https(443) → 56084 [RST] Seq=648 Win=0 Len=0
    224 4.075999       27.148.145.195        172.17.32.142         TCP      https(443) → 56084 [RST] Seq=648 Win=0 Len=0
    225 4.360322       172.17.32.142         106.122.254.22        TCP      56085 → https(443) [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=663690251 TSecr=0 SACK_PERM=1
    226 4.377072       106.122.254.22        172.17.32.142         TCP      https(443) → 56085 [SYN, ACK, ECN] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM=1 WS=128
    227 4.377178       172.17.32.142         106.122.254.22        TCP      56085 → https(443) [ACK] Seq=1 Ack=1 Win=262144 Len=0
    228 4.379768       172.17.32.142         106.122.254.22        TLSv1.2  Client Hello
