No.     Time           Source                Destination           Protocol Length Info
     19 0.164070       172.16.20.51          120.24.48.119         TCP      66     33872 → cvc_hostd(442) [ACK] Seq=600 Ack=2653 Win=96320 Len=0 TSval=20267840 TSecr=3846219435
     20 0.167994       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
     21 0.168619       172.16.20.51          120.24.48.119         TCP      66     33872 → cvc_hostd(442) [FIN, ACK] Seq=631 Ack=2653 Win=96320 Len=0 TSval=20267840 TSecr=3846219435
     22 0.182231       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 33872 [FIN, ACK] Seq=2653 Ack=631 Win=31104 Len=0 TSval=3846219458 TSecr=20267840
     23 0.183273       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 33872 [ACK] Seq=2654 Ack=632 Win=31104 Len=0 TSval=3846219458 TSecr=20267840
     24 0.183367       172.16.20.51          120.24.48.119         TCP      66     33872 → cvc_hostd(442) [ACK] Seq=632 Ack=2654 Win=96320 Len=0 TSval=20267842 TSecr=3846219458
     25 0.446342       172.16.20.51          120.24.48.119         TCP      74     47644 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20267868 TSecr=0 WS=64
     26 0.465409       120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 47644 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846219741 TSecr=20267868 WS=128
     27 0.466418       172.16.20.51          120.24.48.119         TCP      66     47644 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20267870 TSecr=3846219741
     28 0.468226       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
     29 0.488306       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 47644 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846219763 TSecr=20267870
     30 0.489522       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
     31 0.489525       120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
     32 0.493142       172.16.20.51          120.24.48.119         TCP      66     47644 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20267873 TSecr=3846219765
     33 0.498248       172.16.20.51          120.24.48.119         TCP      66     47644 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20267873 TSecr=3846219765
     34 0.508841       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
     35 0.530219       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
     36 0.530222       120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
     37 0.538219       172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
     38 0.597191       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 47644 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846219873 TSecr=20267877
     39 0.600679       172.16.20.51          120.24.48.119         TLSv1.2  264    Application Data, Application Data, Application Data, Application Data
     40 0.620531       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 47644 [ACK] Seq=1848 Ack=600 Win=31104 Len=0 TSval=3846219896 TSecr=20267884
     41 0.620538       120.24.48.119         172.16.20.51          TLSv1.2  221    Application Data
     42 0.620541       120.24.48.119         172.16.20.51          TLSv1.2  716    Application Data
     43 0.624646       172.16.20.51          120.24.48.119         TCP      66     47644 → cvc_hostd(442) [ACK] Seq=600 Ack=2653 Win=96320 Len=0 TSval=20267886 TSecr=3846219896
     44 0.625058       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
     45 0.625062       172.16.20.51          120.24.48.119         TCP      66     47644 → cvc_hostd(442) [FIN, ACK] Seq=631 Ack=2653 Win=96320 Len=0 TSval=20267886 TSecr=3846219896
     46 0.644765       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 47644 [FIN, ACK] Seq=2653 Ack=632 Win=31104 Len=0 TSval=3846219920 TSecr=20267886
     47 0.646093       172.16.20.51          120.24.48.119         TCP      66     47644 → cvc_hostd(442) [ACK] Seq=632 Ack=2654 Win=96320 Len=0 TSval=20267888 TSecr=3846219920
     48 0.843651       172.16.20.51          120.24.48.119         TCP      74     37759 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20267907 TSecr=0 WS=64
     49 0.863563       120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 37759 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846220134 TSecr=20267907 WS=128
     50 0.865155       172.16.20.51          120.24.48.119         TCP      66     37759 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20267910 TSecr=3846220134
     51 0.867001       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
     52 0.886943       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 37759 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846220158 TSecr=20267910
     53 0.890380       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
     54 0.890390       120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
     55 0.896668       172.16.20.51          120.24.48.119         TCP      66     37759 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20267913 TSecr=3846220160
     56 0.896669       172.16.20.51          120.24.48.119         TCP      66     37759 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20267913 TSecr=3846220160
     57 0.906009       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
     58 0.927190       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
     59 0.927193       120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
     60 0.929824       172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
     61 0.991060       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 37759 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846220261 TSecr=20267917
     62 0.992366       172.16.20.51          120.24.48.119         TLSv1.2  264    Application Data, Application Data, Application Data, Application Data
     63 1.013368       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 37759 [ACK] Seq=1848 Ack=600 Win=31104 Len=0 TSval=3846220283 TSecr=20267923
     64 1.013371       120.24.48.119         172.16.20.51          TLSv1.2  221    Application Data
     65 1.013373       120.24.48.119         172.16.20.51          TLSv1.2  716    Application Data
     66 1.015448       172.16.20.51          120.24.48.119         TCP      66     37759 → cvc_hostd(442) [ACK] Seq=600 Ack=2653 Win=96320 Len=0 TSval=20267925 TSecr=3846220283
     67 1.015730       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
     68 1.016498       172.16.20.51          120.24.48.119         TCP      66     37759 → cvc_hostd(442) [FIN, ACK] Seq=631 Ack=2653 Win=96320 Len=0 TSval=20267925 TSecr=3846220283
     69 1.040056       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 37759 [FIN, ACK] Seq=2653 Ack=632 Win=31104 Len=0 TSval=3846220310 TSecr=20267925
     70 1.048362       172.16.20.51          120.24.48.119         TCP      66     37759 → cvc_hostd(442) [ACK] Seq=632 Ack=2654 Win=96320 Len=0 TSval=20267928 TSecr=3846220310
     71 1.274774       172.16.20.51          120.24.48.119         TCP      74     39548 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20267951 TSecr=0 WS=64
     72 1.289180       120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 39548 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846220565 TSecr=20267951 WS=128
     73 1.306021       172.16.20.51          120.24.48.119         TCP      66     39548 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20267954 TSecr=3846220565
     74 1.312148       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
     75 1.327198       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 39548 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846220602 TSecr=20267954
     76 1.329212       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
     77 1.329216       120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
     78 1.331290       172.16.20.51          120.24.48.119         TCP      66     39548 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20267957 TSecr=3846220604
     79 1.331299       172.16.20.51          120.24.48.119         TCP      66     39548 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20267957 TSecr=3846220604
     80 1.340698       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
     81 1.356036       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
     82 1.356039       120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
     83 1.365156       172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
     84 1.419448       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 39548 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846220695 TSecr=20267960
     85 1.421125       172.16.20.51          120.24.48.119         TLSv1.2  264    Application Data, Application Data, Application Data, Application Data
     86 1.436257       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 39548 [ACK] Seq=1848 Ack=600 Win=31104 Len=0 TSval=3846220711 TSecr=20267966
     87 1.436263       120.24.48.119         172.16.20.51          TLSv1.2  221    Application Data
     88 1.436264       120.24.48.119         172.16.20.51          TLSv1.2  716    Application Data
     89 1.437883       172.16.20.51          120.24.48.119         TCP      66     39548 → cvc_hostd(442) [ACK] Seq=600 Ack=2653 Win=96320 Len=0 TSval=20267967 TSecr=3846220711
     90 1.438370       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
     91 1.438964       172.16.20.51          120.24.48.119         TCP      66     39548 → cvc_hostd(442) [FIN, ACK] Seq=631 Ack=2653 Win=96320 Len=0 TSval=20267968 TSecr=3846220711
     92 1.453276       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 39548 [FIN, ACK] Seq=2653 Ack=631 Win=31104 Len=0 TSval=3846220728 TSecr=20267967
     93 1.454573       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 39548 [ACK] Seq=2654 Ack=632 Win=31104 Len=0 TSval=3846220729 TSecr=20267968
     94 1.459010       172.16.20.51          120.24.48.119         TCP      66     39548 → cvc_hostd(442) [ACK] Seq=632 Ack=2654 Win=96320 Len=0 TSval=20267969 TSecr=3846220728
     95 1.666725       172.16.20.51          120.24.48.119         TCP      74     43549 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20267990 TSecr=0 WS=64
     96 1.680570       120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 43549 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846220957 TSecr=20267990 WS=128
     97 1.682096       172.16.20.51          120.24.48.119         TCP      66     43549 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20267992 TSecr=3846220957
     98 1.683777       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
     99 1.698328       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 43549 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846220973 TSecr=20267992
    100 1.700686       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
    101 1.700688       120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
    102 1.703619       172.16.20.51          120.24.48.119         TCP      66     43549 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20267994 TSecr=3846220975
    103 1.703620       172.16.20.51          120.24.48.119         TCP      66     43549 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20267994 TSecr=3846220975
    104 1.714913       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
    105 1.730289       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
    106 1.730293       120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
    107 1.732789       172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
    108 1.788067       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 43549 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846221063 TSecr=20267997
    109 1.789163       172.16.20.51          120.24.48.119         TLSv1.2  264    Application Data, Application Data, Application Data, Application Data
    110 1.803126       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 43549 [ACK] Seq=1848 Ack=600 Win=31104 Len=0 TSval=3846221079 TSecr=20268003
    111 1.804200       120.24.48.119         172.16.20.51          TLSv1.2  221    Application Data
    112 1.804202       120.24.48.119         172.16.20.51          TLSv1.2  716    Application Data
    113 1.825809       172.16.20.51          120.24.48.119         TCP      66     43549 → cvc_hostd(442) [ACK] Seq=600 Ack=2653 Win=96320 Len=0 TSval=20268006 TSecr=3846221079
    114 1.825811       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
    115 1.825819       172.16.20.51          120.24.48.119         TCP      66     43549 → cvc_hostd(442) [FIN, ACK] Seq=631 Ack=2653 Win=96320 Len=0 TSval=20268006 TSecr=3846221079
    116 1.837577       120.24.48.119         172.16.20.51          TLSv1.2  716    [TCP Spurious Retransmission] , Application Data
    117 1.838880       172.16.20.51          120.24.48.119         TCP      78     [TCP Dup ACK 113#1] 43549 → cvc_hostd(442) [ACK] Seq=632 Ack=2653 Win=96320 Len=0 TSval=20268008 TSecr=3846221113 SLE=2003 SRE=2653
    118 1.841252       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 43549 [FIN, ACK] Seq=2653 Ack=632 Win=31104 Len=0 TSval=3846221116 TSecr=20268006
    119 1.842372       172.16.20.51          120.24.48.119         TCP      66     43549 → cvc_hostd(442) [ACK] Seq=632 Ack=2654 Win=96320 Len=0 TSval=20268008 TSecr=3846221116
    120 2.093809       172.16.20.51          120.24.48.119         TCP      74     39219 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20268033 TSecr=0 WS=64
    121 2.117479       120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 39219 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846221389 TSecr=20268033 WS=128
    122 2.118830       172.16.20.51          120.24.48.119         TCP      66     39219 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20268035 TSecr=3846221389
    123 2.130754       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
    124 2.155052       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 39219 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846221426 TSecr=20268037
    125 2.157048       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
    126 2.157052       120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
    127 2.159179       172.16.20.51          120.24.48.119         TCP      66     39219 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20268039 TSecr=3846221428
    128 2.159179       172.16.20.51          120.24.48.119         TCP      66     39219 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20268039 TSecr=3846221428
    129 2.188656       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
    130 2.213045       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
    131 2.213047       120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
    132 2.250263       172.16.20.51          120.24.48.119         TCP      66     39219 → cvc_hostd(442) [ACK] Seq=349 Ack=1848 Win=93440 Len=0 TSval=20268049 TSecr=3846221484
    133 2.250264       172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
    134 2.263974       120.24.48.119         172.16.20.51          TLSv1.2  135    [TCP Spurious Retransmission] , Application Data
    135 2.276960       172.16.20.51          120.24.48.119         TCP      78     [TCP Dup ACK 132#1] 39219 → cvc_hostd(442) [ACK] Seq=402 Ack=1848 Win=93440 Len=0 TSval=20268050 TSecr=3846221536 SLE=1779 SRE=1848
    136 2.313143       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 39219 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846221585 TSecr=20268049
    137 2.314587       172.16.20.51          120.24.48.119         TLSv1.2  264    Application Data, Application Data, Application Data, Application Data
    138 2.338070       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 39219 [ACK] Seq=1848 Ack=600 Win=31104 Len=0 TSval=3846221610 TSecr=20268055
    139 2.339427       120.24.48.119         172.16.20.51          TLSv1.2  221    Application Data
    140 2.339432       120.24.48.119         172.16.20.51          TLSv1.2  716    Application Data
    141 2.341682       172.16.20.51          120.24.48.119         TCP      66     39219 → cvc_hostd(442) [ACK] Seq=600 Ack=2003 Win=93440 Len=0 TSval=20268058 TSecr=3846221610
    142 2.341689       172.16.20.51          120.24.48.119         TCP      66     39219 → cvc_hostd(442) [ACK] Seq=600 Ack=2653 Win=96320 Len=0 TSval=20268058 TSecr=3846221610
    143 2.353030       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
    144 2.353194       172.16.20.51          120.24.48.119         TCP      66     39219 → cvc_hostd(442) [FIN, ACK] Seq=631 Ack=2653 Win=96320 Len=0 TSval=20268058 TSecr=3846221610
    145 2.377158       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 39219 [FIN, ACK] Seq=2653 Ack=631 Win=31104 Len=0 TSval=3846221648 TSecr=20268058
    146 2.377162       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 39219 [ACK] Seq=2654 Ack=632 Win=31104 Len=0 TSval=3846221648 TSecr=20268058
    147 2.383263       172.16.20.51          120.24.48.119         TCP      66     39219 → cvc_hostd(442) [ACK] Seq=632 Ack=2654 Win=96320 Len=0 TSval=20268062 TSecr=3846221648
    148 2.655245       172.16.20.51          120.24.48.119         TCP      74     33807 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20268089 TSecr=0 WS=64
    149 2.672705       120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 33807 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846221950 TSecr=20268089 WS=128
    150 2.674169       172.16.20.51          120.24.48.119         TCP      66     33807 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20268091 TSecr=3846221950
    151 2.691917       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
    152 2.711268       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 33807 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846221987 TSecr=20268093
    153 2.712047       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
    154 2.712050       120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
    155 2.713903       172.16.20.51          120.24.48.119         TCP      66     33807 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20268095 TSecr=3846221988
    156 2.713908       172.16.20.51          120.24.48.119         TCP      66     33807 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20268095 TSecr=3846221988
    157 2.738669       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
    158 2.757229       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
    159 2.757231       120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
    160 2.794308       172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
    161 2.805034       120.24.48.119         172.16.20.51          TLSv1.2  135    [TCP Spurious Retransmission] , Application Data
    162 2.807472       172.16.20.51          120.24.48.119         TCP      78     [TCP Dup ACK 160#1] 33807 → cvc_hostd(442) [ACK] Seq=402 Ack=1848 Win=93440 Len=0 TSval=20268104 TSecr=3846222082 SLE=1779 SRE=1848
    163 2.852076       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 33807 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846222129 TSecr=20268102
    164 2.853716       172.16.20.51          120.24.48.119         TLSv1.2  264    Application Data, Application Data, Application Data, Application Data
    165 2.873046       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 33807 [ACK] Seq=1848 Ack=600 Win=31104 Len=0 TSval=3846222148 TSecr=20268109
    166 2.873051       120.24.48.119         172.16.20.51          TLSv1.2  221    Application Data
    167 2.873053       120.24.48.119         172.16.20.51          TLSv1.2  716    Application Data
    168 2.877704       172.16.20.51          120.24.48.119         TCP      66     33807 → cvc_hostd(442) [ACK] Seq=600 Ack=2003 Win=93440 Len=0 TSval=20268111 TSecr=3846222149
    169 2.900928       172.16.20.51          120.24.48.119         TCP      66     33807 → cvc_hostd(442) [ACK] Seq=600 Ack=2653 Win=96320 Len=0 TSval=20268114 TSecr=3846222149
    170 2.909054       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
    171 2.911210       172.16.20.51          120.24.48.119         TCP      66     33807 → cvc_hostd(442) [FIN, ACK] Seq=631 Ack=2653 Win=96320 Len=0 TSval=20268115 TSecr=3846222149
    172 2.928618       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 33807 [FIN, ACK] Seq=2653 Ack=631 Win=31104 Len=0 TSval=3846222204 TSecr=20268114
    173 2.929277       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 33807 [ACK] Seq=2654 Ack=632 Win=31104 Len=0 TSval=3846222206 TSecr=20268115
    174 2.931799       172.16.20.51          120.24.48.119         TCP      66     33807 → cvc_hostd(442) [ACK] Seq=632 Ack=2654 Win=96320 Len=0 TSval=20268117 TSecr=3846222204
    175 3.213720       172.16.20.51          120.24.48.119         TCP      74     43536 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20268145 TSecr=0 WS=64
    176 3.226850       120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 43536 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846222504 TSecr=20268145 WS=128
    177 3.228412       172.16.20.51          120.24.48.119         TCP      66     43536 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20268146 TSecr=3846222504
    178 3.238511       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
    179 3.253729       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 43536 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846222529 TSecr=20268147
    180 3.255994       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
    181 3.255997       120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
    182 3.257683       172.16.20.51          120.24.48.119         TCP      66     43536 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20268149 TSecr=3846222531
    183 3.257850       172.16.20.51          120.24.48.119         TCP      66     43536 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20268149 TSecr=3846222531
    184 3.290432       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
    185 3.304184       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
    186 3.304187       120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
    187 3.305750       172.16.20.51          120.24.48.119         TCP      66     43536 → cvc_hostd(442) [ACK] Seq=349 Ack=1779 Win=93440 Len=0 TSval=20268154 TSecr=3846222581
    188 3.305760       172.16.20.51          120.24.48.119         TCP      66     43536 → cvc_hostd(442) [ACK] Seq=349 Ack=1848 Win=93440 Len=0 TSval=20268154 TSecr=3846222581
    189 3.325489       172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
    190 3.379137       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 43536 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846222656 TSecr=20268156
